Id,Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
138,0.69,3,-13,1004,-840,-2660,350
139,0.695,3,-13,1005,-840,-2660,420
140,0.7,2,-13,1004,-910,-2590,420
141,0.705,3,-14,1006,-840,-2660,350
142,0.71,2,-13,1005,-840,-2660,420
143,0.715,2,-14,1005,-910,-2660,350
144,0.72,3,-13,1006,-910,-2660,420
145,0.725,3,-13,1005,-840,-2660,420
146,0.73,3,-13,1005,-910,-2660,420
147,0.735,4,-13,1005,-910,-2660,420
148,0.74,3,-13,1005,-910,-2660,420
149,0.745,3,-14,1004,-840,-2660,420
150,0.75,2,-13,1005,-910,-2660,420
151,0.755,3,-13,1005,-840,-2660,420
152,0.76,3,-13,1004,-840,-2590,420
153,0.765,2,-13,1005,-840,-2590,420
154,0.77,3,-13,1005,-840,-2590,420
155,0.775,3,-14,1004,-910,-2590,420
156,0.78,2,-13,1005,-840,-2590,420
157,0.785,3,-13,1005,-840,-2660,350
158,0.79,2,-13,1005,-910,-2660,350
159,0.795,3,-13,1003,-840,-2660,420
160,0.8,2,-12,1002,-840,-2660,350
161,0.805,4,-14,1008,-910,-2590,350
162,0.81,3,-13,1006,-840,-2590,350
163,0.815,3,-15,1004,-840,-2660,350
164,0.82,4,-12,1005,-840,-2660,420
165,0.825,5,-14,1006,-910,-2730,350
166,0.83,3,-13,1006,-840,-2590,420
167,0.835,2,-14,1005,-840,-2660,420
168,0.84,1,-15,1005,-840,-2660,350
169,0.845,3,-15,1004,-910,-2660,420
170,0.85,2,-14,1006,-910,-2660,420
171,0.855,1,-12,1005,-840,-2590,420
172,0.86,3,-13,1005,-910,-2660,420
173,0.865,2,-14,1005,-840,-2590,420
174,0.87,3,-14,1005,-840,-2730,350
175,0.875,3,-13,1006,-910,-2660,350
176,0.88,3,-13,1005,-840,-2590,350
177,0.885,3,-13,1005,-840,-2660,420
178,0.89,2,-13,1004,-840,-2660,350
179,0.895,2,-14,1005,-910,-2590,420
180,0.9,3,-13,1006,-910,-2730,350
181,0.905,2,-14,1005,-910,-2660,420
182,0.91,4,-13,1005,-910,-2590,350
183,0.915,3,-12,1005,-840,-2590,350
184,0.92,3,-14,1004,-910,-2590,350
185,0.925,2,-13,1005,-910,-2660,420
186,0.93,3,-13,1005,-910,-2660,420
187,0.935,3,-13,1005,-910,-2660,420
188,0.94,3,-14,1005,-840,-2590,420
189,0.945,2,-14,1006,-840,-2660,420
190,0.95,4,-14,1004,-840,-2660,420
191,0.955,1,-14,1005,-910,-2800,350
192,0.96,4,-13,1003,-840,-2660,420
193,0.965,3,-13,1006,-840,-2660,420
194,0.97,3,-13,1006,-840,-2660,350
195,0.975,3,-13,1005,-840,-2660,420
196,0.98,3,-14,1006,-910,-2590,420
197,0.985,3,-14,1005,-910,-2590,350
